Company,Code,Price,Sector
Commercial International Bank (COMI),COMI,,Banking
Alexandria Mineral Oils Company (AMOC),AMOC,,Oil & Gas
Palm Hills Development Company (PHDC),PHDC,,Real Estate
Pioneer Properties for Urban Development (PRDC),PRDC,,Real Estate
Ismailia Development & Real Estate (IDRE),IDRE,,Real Estate
EFG Hermes Holdings SAE (HRHO),HRHO,,Financial Services
Fawry Banking and Payment (FWRY),FWRY,,Fintech
El Sewedy Electric Co SAE (SWDY),SWDY,,Industrial
Qatar Natl Bank (QNBE),QNBE,,Banking
Abu Qir Fertilizers and Chemical Industries Co SAE (ABUK),ABUK,,Chemicals
Sidi Kerir Petrochemicals (SKPC),SKPC,,Petrochemicals
Misr Fertilizers Production Co SAE (MFPC),MFPC,,Chemicals
Alexandria Containers and goods (ALCN),ALCN,,Transportation
Beltone Financial Holding (BTFH),BTFH,,Financial Services
T M G Holding (TMGH),TMGH,,Real Estate
Emaar Misr for Development SAE (EMFD),EMFD,,Real Estate
Arabian Food Industries Co (DOMT),DOMT,,Food & Beverage
Obour Land for Food Industries (OLFI),OLFI,,Food & Beverage
Juhayna Food Industries (JUFO),JUFO,,Food & Beverage
Abu Dhabi Islamic Bank- Egypt (ADIB),ADIB,,Banking
Misr National Steel SAE (ATQA),ATQA,,Steel
Egypt Aluminum (EGAL),EGAL,,Metals
Egypt Gas Co SAE (EGAS),EGAS,,Energy
Faisal Islamic Bank of Egypt - EGP (FAIT),FAIT,,Banking
Medical Packaging Company (MEPA),MEPA,,Healthcare
TAQA Arabia (TAQA),TAQA,,Energy
Orascom Hotels and Development SAE (ORHD),ORHD,,Real Estate
Six of October Development & Invest (OCDI),OCDI,,Real Estate
Raya Holding for Financial Investment SAE (RAYA),RAYA,,Technology
Paint & Chemicals Industries (PACH),PACH,,Chemicals
Arab Pharmaceuticals (ADCI),ADCI,,Pharmaceuticals
Misr Cement Co ESC (MCQE),MCQE,,Construction Materials
National Bank of Kuwait Egypt (NBKE),NBKE,,Banking
Suez Canal Bank (CANA),CANA,,Banking
Dice Sport & Casual Wear (DSCW),DSCW,,Textiles & Apparel
Qalaa Holdings SAE (CCAP),CCAP,,Investment
Ibnsina Pharma Co (ISPH),ISPH,,Pharmaceuticals
Madinet Nasr for Housing and Development SAE (MASR),MASR,,Real Estate
Oriental Weavers (ORWE),ORWE,,Textiles & Apparel
Tenth of Ramadan for Pharmaceutical (RMDA),RMDA,,Pharmaceuticals
Glaxo Smith Kline (BIOC),BIOC,,Pharmaceuticals
El Nasr Clothing & Textiles (KABO),KABO,,Textiles & Apparel
Al Baraka Bank Egypt (SAUD),SAUD,,Banking
